kode_rumah_sakit,nama_rumah_sakit,jenis_rumah_sakit,alamat_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,nomor_telepon,nomor_fax,website,email,telepon_humas
3172713,Mediros,Rumah Sakit Umum,Jl. Perintis Kemerdekaan Kav. 149,Pulogadung,Pulogadung,Jakarta Timur,,"021 4721238, 021 4721239",021 4891937,,,
3172702,Dharma Nugraha,Rumah Sakit Umum,Jl. Balai Pustaka Baru No. 19,Rawamangun,Pulogadung,Jakarta Timur,,"021 4707433, 021 4707437",021 4707428,,,
1000026,Resti Mulya,Rumah Sakit Ibu dan Anak,Jl. Pahlawan Komarudin Raya No. 5,Penggilingan,Cakung,Jakarta Timur,,021 4802192,021 48701488,,,
3171435,Ketergantungan Obat,Rumah Sakit Khusus Ketergantungan Obat,Jl. LapanganTembak No. 75,Cibubur,Cibubur,Jakarta Timur,,"021 87711968, 021 87711969",021 87711970,,,
1000027,Duren Sawit,Rumah Sakit Khusus Jiwa,Jl. Duren Sawit Baru No. 2,Duren Sawit,Duren Sawit,Jakarta Timur,13440,"021 8628686, 021 8617601",021 8628659,,,
1000028,Sekar,Rumah Sakit Ibu dan Anak,Jl. Raden Inten,Duren Sawit,Duren Sawit,Jakarta Timur,,,,,,
3172735,Islam Klender Jakarta,Rumah Sakit Khusus Jiwa,Jl. Bunga Rampai X - Perumnas Klender,Malaka Jaya,Duren Sawit,Jakarta Timur,,"021 86602402, 021 8622491",021 86610234,,,
1000029,Bunda Aliyah,Rumah Sakit Ibu dan Anak,Jl. Pahlawan Revolusi No. 100,Pondok Bambu,Duren Sawit,Jakarta Timur,,,,,,
1000030,SamMarie Basra,Rumah Sakit Ibu dan Anak,Jl. Basuki Rachmat  No. 31,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,"021 86613145, 021 86613146",021 86613147,www.sammarie.com,contact.sambasra@gmail.com,"021 86613145, 021 86613146"
3172137,Sayyidah,Rumah Sakit Ibu dan Anak,Jl. Taman Malaka Selatan No. 6,Pondok Kelapa,Duren Sawit,Jakarta Timur,13450,"021 86902950, 021 8655179",021 8649886,www.rsiasayyidah.moonfruit.com,,
3172243,Hermina Jatinegara,Rumah Sakit Ibu dan Anak,Jl. Jatinegara Barat No. 126 ,Kampung Melayu,Jatinegara,Jakarta Timur,,021 8196157,"021 8560601, 021 8190111",,,
1000031,Asta Nugraha,Rumah Sakit Bersalin,JL. Duren Sawit Raya Blok K.3 No.1,Klender,Duren Sawit,Jakarta Timur,13470,021 8615937,,,,
3172666,Restu ,Rumah Sakit Ibu dan Anak,Jl. Raya Bogor  Km. 19  No. 3.a,Kramat Jati,Kramat Jati,Jakarta Timur,,021 8001177,021 80882753,,,
1000032,Bina Waluya,Rumah Sakit Khusus Jantung,Jl. TB Simatupang No. 71 Jak-Tim,Gedong,Pasar Rebo,Jakarta Timur,,021 87781605,,,,
1000033,Jakarta,RS Khusus Orthopaedi & Traumatologi,Jl. H. Ten,Kayu Putih,Pulogadung,Jakarta Timur,,,,,,
3172301,Rawamangun,Rumah Sakit Khusus Bedah,Jl. Balai Pustaka Raya No. 29-31,Rawamangun,Pulogadung,Jakarta Timur,,021 4893531,021 4710918,,,
1000034,Alvernia Agusta,Rumah Sakit Bersalin,Jl. Pemuda No. 80  RT.001 RW.08,Jati,Pulogadung,Jakarta Timur,,"021 4705266, 021 4720893",021 4705266,,,
1000035,Matraman,Rumah Sakit Jantung,,,,,,,,,,
1000036,Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,,"021 33230332, 021 33312388","021 33312388, 021 37175900",,,
